file,seg_type,seg_start,seg_end,seg_duration,mfa_duration,word,word_start,word_end,phrase_num,local_speech_rate
3027_SpeechPBJProcedural_InPerson_20190425,P,23.492,23.549,0.0569999999999986,0.120000000000001,put,23.4162,23.6562,9,3.6697247706422
3027_SpeechPBJProcedural_InPerson_20190425,B,25.535,25.541,0.00600000000000023,0.0399999999999991,butter,25.5062,26.1762,10,3.38983050847458
3027_SpeechPBJProcedural_InPerson_20190425,P,28.872,28.887,0.0150000000000006,0.0500000000000007,peanut,28.8262,29.0262,12,4.78821362799263
3027_SpeechPBJProcedural_InPerson_20190425,P,29.652,29.677,0.0249999999999986,0.0800000000000018,put,29.5962,29.8162,12,4.78821362799263
3027_SpeechPBJProcedural_InPerson_20190425,T,31.128,31.18,0.0519999999999996,0.0700000000000003,take,31.0962,31.2962,12,4.78821362799263
3027_SpeechPBJProcedural_InPerson_20190425,P,31.876,31.919,0.0429999999999993,0.0899999999999999,put,31.8262,32.0062,12,4.78821362799263
3027_SpeechPBJProcedural_InPerson_20190425,T,38.216,38.238,0.0219999999999985,0.0499999999999972,to,38.1762,38.3062,16,6.45161290322591
3027_SpeechPBJProcedural_InPerson_20190425,B,39.975,39.981,0.00600000000000023,0.0499999999999972,bit,39.9362,40.1362,18,4.65949820788531
3027_SpeechPBJProcedural_InPerson_20190425,P,47.072,47.139,0.0670000000000002,0.0700000000000003,put,47.0662,47.2062,22,3.39506172839506
3027_SpeechPBJProcedural_InPerson_20190425,K,55.668,55.748,0.0799999999999983,0.0999999999999943,can,55.6362,56.0362,26,2.50000000000001
3027_SpeechPBJProcedural_InPerson_20190425,K,57.582,57.612,0.0300000000000011,0.0600000000000023,can,57.5462,57.7062,27,5.92823712948518
3027_SpeechPBJProcedural_InPerson_20190425,D,57.741,57.75,0.00900000000000034,0.0599999999999952,do,57.7062,57.8562,27,5.92823712948518
3027_SpeechPBJProcedural_InPerson_20190425,P,59.048,59.076,0.0279999999999987,0.109999999999999,put,58.9662,59.1462,27,5.92823712948518
3027_SpeechPBJProcedural_InPerson_20190425,T,60.159,60.244,0.0850000000000009,0.149999999999999,take,60.0862,60.4662,27,5.92823712948518
3027_SpeechPBJProcedural_InPerson_20190425,B,60.495,60.501,0.00600000000000023,0.0399999999999991,both,60.4662,60.7162,27,5.92823712948518
3027_SpeechPBJProcedural_InPerson_20190425,P,60.697,60.77,0.0730000000000004,0.0499999999999972,pieces,60.7162,61.0662,27,5.92823712948518
3027_SpeechPBJProcedural_InPerson_20190425,P,61.369,61.405,0.0360000000000014,0.100000000000001,put,61.2962,61.5262,27,5.92823712948518
3027_SpeechPBJProcedural_InPerson_20190425,T,61.7,61.751,0.0509999999999948,0.0799999999999983,together,61.6562,62.1362,27,5.92823712948518
3032_SpeechPBJProcedural_InPerson_20190507,K,10.407,10.487,0.0800000000000001,0.110000000000001,cutting,10.3753,10.7253,2,5.24475524475525
3032_SpeechPBJProcedural_InPerson_20190507,B,10.757,10.763,0.00600000000000023,0.0599999999999987,board,10.7253,10.9753,2,5.24475524475525
3032_SpeechPBJProcedural_InPerson_20190507,T,12.404,12.481,0.077,0.0800000000000001,take,12.3953,12.5953,3,5.3735255570118
3032_SpeechPBJProcedural_InPerson_20190507,P,13.366,13.397,0.0310000000000006,0.0300000000000011,put,13.3553,13.4553,3,5.3735255570118
3032_SpeechPBJProcedural_InPerson_20190507,K,13.773,13.851,0.0780000000000012,0.109999999999999,cutting,13.7353,14.0253,3,5.3735255570118
3032_SpeechPBJProcedural_InPerson_20190507,B,14.054,14.06,0.00600000000000023,0.0400000000000009,board,14.0253,14.2653,3,5.3735255570118
3032_SpeechPBJProcedural_InPerson_20190507,G,14.383,14.389,0.00600000000000023,0.0300000000000011,gonna,14.3653,14.5153,3,5.3735255570118
3032_SpeechPBJProcedural_InPerson_20190507,T,15.081,15.163,0.0820000000000007,0.0899999999999999,two,15.0653,15.2653,3,5.3735255570118
3032_SpeechPBJProcedural_InPerson_20190507,T,15.293,15.396,0.103000000000002,0.120000000000001,times,15.2653,15.7853,3,5.3735255570118
3032_SpeechPBJProcedural_InPerson_20190507,T,16.262,16.347,0.0850000000000009,0.100000000000001,two,16.2353,16.4553,3,5.3735255570118
3032_SpeechPBJProcedural_InPerson_20190507,P,20.311,20.343,0.032,0.0300000000000011,put,20.3053,20.4253,4,4.76610767872904
3032_SpeechPBJProcedural_InPerson_20190507,B,23.022,23.03,0.00800000000000267,0.0300000000000011,bag,23.0053,23.9253,4,4.76610767872904
3032_SpeechPBJProcedural_InPerson_20190507,P,25.245,25.316,0.070999999999998,0.129999999999999,peanut,25.1753,25.4653,4,4.76610767872904
3032_SpeechPBJProcedural_InPerson_20190507,K,26.858,26.94,0.0820000000000007,0.129999999999999,cabinet,26.7953,27.2853,4,4.76610767872904
3032_SpeechPBJProcedural_InPerson_20190507,B,29.964,29.97,0.00600000000000023,0.0899999999999999,butter,29.8853,30.1753,4,4.76610767872904
3032_SpeechPBJProcedural_InPerson_20190507,T,32.308,32.379,0.070999999999998,0.0899999999999963,take,32.2753,32.5653,5,5.91397849462366
3032_SpeechPBJProcedural_InPerson_20190507,D,33.067,33.08,0.0129999999999981,0.0499999999999972,dip,33.0353,33.2153,5,5.91397849462366
3032_SpeechPBJProcedural_InPerson_20190507,K,34.73,34.763,0.0330000000000013,0.0399999999999991,cap,34.7153,34.9653,6,5.94900849858357
